Food,Servings,Unit,Calories,Protein ,Fat,Carbs,Fiber,Comments
Al Faham Chest,100,gm,129,18.9,4.5,2.5,1.2,Usually 200gm serving
Al Faham Leg,100,gm,146,16.6,8.1,2.3,1.2,
Appam,100,gm,194,4,3.1,37.5,1.6,
Ari puttu,100,gm,194,2.9,4.9,33.9,2.4,
Boiled egg,1,count,77,6.3,5.3,0.6,0,
Boiled egg white,1,count,17,3.6,0.2,0.2,0,
Cafe Mocha,100,ml,81,3.7,4.2,8.3,0.7,1 cup is 250ml
Chappathi,100,gm,244,8.7,1.2,49.6,7.7,
Coconut Chutney,100,gm,204,2.1,19.2,5.8,5.2,
Egg bullseye,1,count,108,6.7,9,1.1,0,
Egg Fried Rice,100,gm,121,3.5,5.6,14.9,0.9,
French Fries,100,gm,314,3.8,16.1,38.4,3.5,
Gothambu puttu,100,gm,176,5.5,3.7,30.4,5.5,
Grilled Chicken Breast,100,gm,151,30.5,3.2,0,0,
Kerala Chicken Curry,100,gm,133,12,7.8,3.7,1.1,
Kerala chicken fry,100,gm,141,12.6,7.3,6.9,2.4,
Kerala Chicken Roast,100,gm,126,13.9,5.5,5,1.5,
Kerala porotta,100,gm,368,6.1,18.6,43.7,1.4,
Lime Juice,100,ml,23,0.4,0.3,7.1,0.3,1 cup is 250ml
Loaded Fries With Chicken,100,gm,264,12.1,14.3,21.4,2.1,1 serve is 200gm
Mandi Rice,100,gm,132,6,5.4,14.6,0.7,
Mattta Rice,100,gm,92,1.5,0,21.5,0.3,
Mayonnaise,100,gm,714,0,71.4,0,0,
MB Biozyme Performance Whey ,100,gm,391,69.5,5.5,15.5,0,
Meat Roll,100,gm,209,8.9,12.8,13.9,0.9,
Milk Bread,100,gm,241,7.2,2.1,48.1,1.7,
Milky Mist Curd,100,gm,62,3.5,3,5.2,0,
Neychoru,100,gm,125,2.2,4.1,20.1,0.7,
Pappadam,100,gm,401,18.2,13.6,51.3,1.1,1 pappadam is 8gm
Pineapple,100,gm,46,0.4,0.1,10.8,2.8,
Plain Dosa,100,gm,184,4.5,5.9,28.3,1.6,
Sambhar,100,gm,76,3.7,2,10.8,2.5,
Shawarma,100,gm,173,11,8.9,12.4,1.5,
Sugar,100,gm,387,0,0,100,0,
Uzhunnu Vada,100,gm,207,7.2,11.1,19.5,3.7,
Whole Milk,100,gm,89,3.3,6.2,5,0,
